report_id,metric_id,value,unit,notes
1998_1999,total_received,59894,applications,Forecast 65000 applications
1999_2000,total_received,70181,applications,
2000_2001,total_received,73931,applications,
2001_2002,total_received,77104,applications,
2002_2003,total_received,68118,applications,
2003_2004,total_received,70004,applications,
2004_2005,total_received,74867,applications,
2005_2006,total_received,81000,applications,
2006_2007,total_received,79701,applications,
2007_2008,total_received,80552,applications,
2008_2009,total_received,85840,applications,
2009_2010,total_received,78072,applications,
2010_2011,total_received,77393,applications,
2011_2012,total_received,81084,applications,
2012_2013,total_received,82192,applications,
2013_2014,total_received,81748,applications,
2014_2015,total_received,79740,applications,
2015_2016,total_received,80214,applications,
2016_2017,total_received,81432,applications,
2017_2018,total_received,80791,applications,includes co-op cases
2018_2019,total_received,82095,applications,includes co-op cases
2019_2020,total_received,80874,applications,includes co-op cases
2020_2021,total_received,48422,applications,includes co-op cases
2021_2022,total_received,61705,applications,includes co-op cases
2022_2023,total_received,73406,applications,
2023_2024,total_received,82285,applications,31% increase in submissions
2024_2025,total_received,87993,applications,
1998_1999,total_resolved,,applications,Forecast 65000 applications
1999_2000,total_resolved,"70,862",applications,
2000_2001,total_resolved,"76,946",applications,
2001_2002,total_resolved,78285,applications,
2002_2003,total_resolved,68505,applications,
2003_2004,total_resolved,71668,applications,
2004_2005,total_resolved,70527,applications,
2005_2006,total_resolved,87977,applications,
2006_2007,total_resolved,,applications,
2007_2008,total_resolved,,applications,
2008_2009,total_resolved,,applications,
2009_2010,total_resolved,,applications,
2010_2011,total_resolved,,applications,
2011_2012,total_resolved,,applications,
2012_2013,total_resolved,,applications,
2013_2014,total_resolved,,applications,
2014_2015,total_resolved,77306,applications,
2015_2016,total_resolved,78175,applications,
2016_2017,total_resolved,78783,applications,
2017_2018,total_resolved,78744,applications,includes co-op cases
2018_2019,total_resolved,79476,applications,includes co-op cases
2019_2020,total_resolved,72064,applications,includes co-op cases
2020_2021,total_resolved,35983,applications,includes co-op cases
2021_2022,total_resolved,61868,applications,includes co-op cases
2022_2023,total_resolved,52986,applications,
2023_2024,total_resolved,88307,applications,31% increase in submissions
2024_2025,total_resolved,108146,applications,
1998_1999,total_unresolved,,applications,Forecast 65000 applications
1999_2000,total_unresolved,,applications,
2000_2001,total_unresolved,,applications,
2001_2002,total_unresolved,,applications,
2002_2003,total_unresolved,,applications,
2003_2004,total_unresolved,,applications,
2004_2005,total_unresolved,,applications,
2005_2006,total_unresolved,,applications,
2006_2007,total_unresolved,,applications,
2007_2008,total_unresolved,,applications,
2008_2009,total_unresolved,,applications,
2009_2010,total_unresolved,,applications,
2010_2011,total_unresolved,,applications,
2011_2012,total_unresolved,,applications,
2012_2013,total_unresolved,,applications,
2013_2014,total_unresolved,,applications,
2014_2015,total_unresolved,,applications,
2015_2016,total_unresolved,11946.0,applications,
2016_2017,total_unresolved,13899.0,applications,
2017_2018,total_unresolved,12944.0,applications,includes co-op cases
2018_2019,total_unresolved,14726.0,applications,includes co-op cases
2019_2020,total_unresolved,22803.0,applications,includes co-op cases
2020_2021,total_unresolved,34731.0,applications,includes co-op cases
2021_2022,total_unresolved,32800.0,applications,includes co-op cases
2022_2023,total_unresolved,53057.0,applications,
2023_2024,total_unresolved,53030.0,applications,31% increase in submissions
2024_2025,total_unresolved,41465.0,applications,
